Número de candidatos votados - prefeito
Sigla;Código;Município;2004;2008;2012;2016;2020;
AL;2709301;União dos Palmares;3;3;3;3;7;
AL;2709400;Viçosa;4;4;3;3;3;
AM;1300029;Alvarães;3;3;2;3;3;
AM;1300060;Amaturá;2;3;3;2;3;
AM;1300086;Anamã;2;3;3;3;3;
AM;1300102;Anori;3;4;4;2;1;
AM;1300144;Apuí;2;3;3;4;3;
AM;1300201;Atalaia do Norte;2;3;4;4;3;
AM;1300300;Autazes;2;3;5;3;4;
AM;1300409;Barcelos;3;2;2;6;5;
AM;1300508;Barreirinha;3;5;5;;3;
AM;1300607;Benjamin Constant;2;3;4;3;5;
AM;1300631;Beruri;4;3;3;4;8;
AM;1300680;Boa Vista do Ramos;4;5;;5;2;
AM;1300706;Boca do Acre;;3;6;2;6;
AM;1300805;Borba;4;4;;5;5;
AM;1300839;Caapiranga;2;2;4;2;2;
AM;1300904;Canutama;2;2;2;2;3;
AM;1301001;Carauari;2;3;4;3;3;
AM;1301100;Careiro;3;4;3;;4;
AM;1301159;Careiro da Várzea;2;5;4;;5;
AM;1301209;Coari;5;3;4;5;;
AM;1301308;Codajás;3;4;4;3;4;
AM;1301407;Eirunepé;4;3;4;4;5;
AM;1301506;Envira;2;3;2;4;3;
AM;1301605;Fonte Boa;3;4;4;2;4;
AM;1301654;Guajará;2;2;3;3;3;
AM;1301704;Humaitá;2;5;4;4;5;
AM;1301803;Ipixuna;2;3;3;3;3;
AM;1301852;Iranduba;6;4;7;;10;
AM;1301902;Itacoatiara;2;3;5;4;7;
AM;1301951;Itamarati;2;3;2;2;2;
AM;1302009;Itapiranga;5;2;5;6;3;
AM;1302108;Japurá;3;3;3;3;4;
AM;1302207;Juruá;2;3;4;;3;
AM;1302306;Jutaí;3;4;3;2;3;
AM;1302405;Lábrea;3;4;7;2;3;
AM;1302504;Manacapuru;2;4;3;6;5;
AM;1302553;Manaquiri;6;3;3;4;4;
AM;1302603;Manaus;6;6;9;9;;
AM;1302702;Manicoré;3;5;3;3;4;
AM;1302801;Maraã;2;4;4;3;6;
AM;1302900;Maués;2;2;5;4;3;
AM;1303007;Nhamundá;2;3;;2;4;
AM;1303106;Nova Olinda do Norte;2;2;3;4;5;
AM;1303205;Novo Airão;5;4;7;8;5;
AM;1303304;Novo Aripuanã;4;3;;5;4;
AM;1303403;Parintins;3;5;6;5;3;
AM;1303502;Pauini;3;4;3;5;3;
AM;1303536;Presidente Figueiredo;3;6;4;4;10;
AM;1303569;Rio Preto da Eva;4;3;2;5;2;
AM;1303601;Santa Isabel do Rio Negro;5;3;4;3;6;
AM;1303700;Santo Antônio do Içá;2;2;3;3;3;
AM;1303809;São Gabriel da Cachoeira;3;3;8;;6;
AM;1303908;São Paulo de Olivença;2;2;3;3;4;
AM;1303957;São Sebastião do Uatumã;2;4;5;;5;
AM;1304005;Silves;3;3;6;5;;
AM;1304062;Tabatinga;4;3;6;6;5;
AM;1304104;Tapauá;2;3;9;4;2;
AM;1304203;Tefé;3;3;6;5;7;
AM;1304237;Tonantins;3;3;;4;3;
AM;1304260;Uarini;2;3;;3;3;
AM;1304302;Urucará;4;4;4;;5;
AM;1304401;Urucurituba;4;5;4;4;3;
AP;1600055;Serra do Navio;3;3;4;2;5;
AP;1600105;Amapá;4;3;;3;3;
AP;1600154;Pedra Branca do Amaparí;2;8;;4;3;
AP;1600204;Calçoene;;5;2;;5;
AP;1600212;Cutias;4;3;4;5;4;
AP;1600238;Ferreira Gomes;2;5;5;;5;
AP;1600253;Itaubal;3;4;4;5;5;
AP;1600279;Laranjal do Jari;3;6;9;;5;
AP;1600303;Macapá;4;7;6;7;9;
AP;1600402;Mazagão;4;4;;3;6;
